Task,Accuracy,Centered,Random baseline,Examples,Skipped,Elapsed sec
hellaswag_zeroshot,0.292173,0.056230,25.000000,10042,0,370.051808
jeopardy,0.000472,0.000472,0.000000,2117,0,43.627760
bigbench_qa_wikidata,0.246002,0.246002,0.000000,20321,0,316.013488
arc_easy,0.360269,0.147026,25.000000,2376,0,106.781150
arc_challenge,0.211604,-0.051195,25.000000,1172,0,46.278707
copa,0.610000,0.220000,50.000000,100,0,7.208575
commonsense_qa,0.286650,0.108313,20.000000,1221,0,46.235965
piqa,0.630316,0.260632,50.000000,1834,4,63.725338
openbook_qa,0.278000,0.037333,25.000000,500,0,18.732243
lambada_openai,0.282748,0.282748,0.000000,5153,0,81.673818
hellaswag,0.290679,0.054239,25.000000,10042,0,429.367038
winograd,0.534799,0.069597,50.000000,273,0,7.173696
winogrande,0.511444,0.022889,50.000000,1267,0,29.943643
bigbench_dyck_languages,0.026000,0.026000,0.000000,1000,0,29.372131
agi_eval_lsat_ar,0.252174,0.065217,20.000000,230,0,8.835739
bigbench_cs_algorithms,0.382576,0.382576,0.000000,1320,0,27.681827
bigbench_operators,0.076190,0.076190,0.000000,210,0,3.998830
bigbench_repeat_copy_logic,0.000000,0.000000,0.000000,32,0,0.405323
squad,0.004730,0.004730,0.000000,10570,0,232.125521
coqa,0.065639,0.065639,0.000000,7983,0,154.206485
boolq,0.580428,-0.104136,62.000000,3270,0,135.588013
bigbench_language_identification,0.252400,0.177558,9.100000,10000,0,455.373067
CORE,,0.097639,,,,2614.402057
